,X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
5,-73.9683613516225,40.7725908847499,11H-AM-1010-03,11H,AM,10102018,3,Adult,Cinnamon,White,Cinnamon+White,,,,,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.9683613516225 40.7725908847499)
13,-73.9768603630674,40.7702795904962,5C-PM-1010-09,05C,PM,10102018,9,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9768603630674 40.7702795904962)
20,-73.9649866016038,40.7764929694457,16I-AM-1008-01,16I,AM,10082018,1,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.9649866016038 40.7764929694457)
21,-73.9670628558161,40.7734991420941,12I-AM-1013-01,12I,AM,10132018,1,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,on tree roots,False,False,False,False,False,sitting,False,False,False,False,True,False,False,True,,POINT (-73.9670628558161 40.77349914209411)
30,-73.9662438996681,40.7890381809441,28A-PM-1007-05,28A,PM,10072018,5,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,True,False,False,False,True,,False,False,False,False,True,False,False,True,,POINT (-73.9662438996681 40.7890381809441)
58,-73.9745630038492,40.7692602628745,5E-AM-1008-06,05E,AM,10082018,6,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,True,False,False,,POINT (-73.9745630038492 40.7692602628745)
62,-73.968381325559,40.7780143443779,16E-PM-1018-06,16E,PM,10182018,6,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,On a rock,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.968381325559 40.7780143443779)
63,-73.9694240327509,40.7755898126674,13F-AM-1007-02,13F,AM,10072018,2,Adult,Cinnamon,White,Cinnamon+White,,,,,False,False,False,True,True,,False,False,False,False,False,False,True,False,,POINT (-73.96942403275091 40.7755898126674)
74,-73.9610705592868,40.7914829661051,32D-AM-1013-06,32D,AM,10132018,6,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,True,False,False,True,True,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity",False,False,False,False,True,True,False,False,,POINT (-73.9610705592868 40.7914829661051)
78,-73.9617088749928,40.7944585082367,35A-PM-1013-06,35A,PM,10132018,6,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,False,True,,POINT (-73.9617088749928 40.7944585082367)
82,-73.9541453465817,40.7982162223764,42E-PM-1012-06,42E,PM,10122018,6,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,True,False,False,False,True,,False,False,False,False,False,False,False,True,,POINT (-73.9541453465817 40.79821622237641)
83,-73.9683608295976,40.7842927405327,22B-AM-1013-04,22B,AM,10132018,4,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,Under bench,False,False,False,False,True,,False,False,False,False,False,False,False,True,ran from dog-walker,POINT (-73.9683608295976 40.7842927405327)
116,-73.9511118711108,40.7950813345902,40I-AM-1018-01,40I,AM,10182018,1,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,True,False,False,False,True,begging,False,False,False,False,False,False,False,False,,POINT (-73.9511118711108 40.7950813345902)
121,-73.9651601541795,40.7761841788025,15I-PM-1012-07,15I,PM,10122018,7,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,True,False,False,False,True,,False,False,False,False,False,False,False,False,,POINT (-73.9651601541795 40.7761841788025)
136,-73.9768652785664,40.7684838168207,3D-PM-1010-03,03D,PM,10102018,3,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,False,False,False,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.97686527856641 40.7684838168207)
146,-73.9763430829342,40.7686351097159,4D-PM-1008-11,04D,PM,10082018,11,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Above Ground,3,on tree facing downward,False,True,False,False,False,chased #12,True,False,False,True,False,False,False,True,,POINT (-73.9763430829342 40.7686351097159)
147,-73.9714789136757,40.7694886645194,6H-AM-1008-01,06H,AM,10082018,1,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,False,False,False,True,False,,False,False,False,False,False,False,False,False,,POINT (-73.9714789136757 40.7694886645194)
161,-73.969058856545,40.7766356226979,14F-PM-1012-06,14F,PM,10122018,6,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,False,False,False,True,True,,False,False,False,False,True,False,True,False,,POINT (-73.969058856545 40.7766356226979)
162,-73.963846339804,40.7834051716226,23F-AM-1018-01,23F,AM,10182018,1,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,30,,False,False,True,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.963846339804 40.7834051716226)
184,-73.9570528770427,40.7990973804149,41B-AM-1010-07,41B,AM,10102018,7,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Above Ground,10,,False,False,False,False,False,,True,False,False,True,False,True,False,False,mad!,POINT (-73.9570528770427 40.7990973804149)
190,-73.9764839973068,40.7691725326976,4D-PM-1008-06,04D,PM,10082018,6,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,True,False,False,True,False,,POINT (-73.9764839973068 40.7691725326976)
195,-73.9771614686616,40.7709677983247,5C-AM-1006-02,05C,AM,10062018,2,Adult,Cinnamon,White,Cinnamon+White,,Above Ground,10,,True,False,True,True,False,,False,False,False,False,False,False,True,False,,POINT (-73.9771614686616 40.7709677983247)
200,-73.9679538163341,40.7837103696906,22C-AM-1013-03,22C,AM,10132018,3,Juvenile,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,True,True,eating (mushroom),False,False,False,False,False,False,False,True,,POINT (-73.9679538163341 40.7837103696906)
209,-73.9772576561244,40.7679895093963,3D-AM-1006-08,03D,AM,10062018,8,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,True,True,,False,False,False,False,False,True,False,False,approaches (food stand),POINT (-73.9772576561244 40.7679895093963)
212,-73.9712327308512,40.7748702909218,12E-PM-1018-06,12E,PM,10182018,6,Juvenile,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.9712327308512 40.7748702909218)
219,-73.9520592496349,40.7975076299811,42G-PM-1014-03,42G,PM,10142018,3,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,4,on fence,True,False,False,False,False,prancing,False,False,False,False,False,False,False,True,,POINT (-73.9520592496349 40.7975076299811)
228,-73.9568343093228,40.7949401350882,37E-PM-1006-04,37E,PM,10062018,4,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,False,False,doesn't see me,POINT (-73.9568343093228 40.7949401350882)
243,-73.9733117663541,40.7694584620114,6F-PM-1008-05,06F,PM,10082018,5,Adult,Cinnamon,White,Cinnamon+White,white patch,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.97331176635412 40.7694584620114)
245,-73.9786339295735,40.7684918638639,3C-PM-1008-02,03C,PM,10082018,2,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9786339295735 40.7684918638639)
252,-73.9762246600197,40.775164077652,10A-AM-1006-03,10A,AM,10062018,3,Juvenile,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,Bridle Path lawn,False,False,False,True,False,,False,False,False,False,False,False,False,False,,POINT (-73.9762246600197 40.775164077652)
253,-73.9800669115792,40.7676825134384,1B-AM-1012-07,01B,AM,10122018,7,Adult,Cinnamon,,Cinnamon+,,Above Ground,2,on tree trunk,False,True,True,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.9800669115792 40.7676825134384)
254,-73.976798124308,40.7741316574113,9A-PM-1010-04,09A,PM,10102018,4,,Cinnamon,,Cinnamon+,,Above Ground,20,,True,False,True,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.97679812430802 40.7741316574113)
255,-73.9773317054464,40.7684035996758,3D-AM-1006-03,03D,AM,10062018,3,Juvenile,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,on top [of] a big rock/boulder in the area,True,False,True,False,False,climbing (rock),False,False,False,False,False,True,False,False,"approaches (slightly),wary of humans",POINT (-73.9773317054464 40.76840359967581)
259,-73.9552861155228,40.788973931872,32I-AM-1013-05,32I,AM,10132018,5,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,3,In and below shrub,False,False,True,False,True,,False,False,False,True,False,False,True,False,,POINT (-73.9552861155228 40.788973931872)
261,-73.9771069181511,40.7670538214988,2E-PM-1014-05,02E,PM,10142018,5,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9771069181511 40.7670538214988)
265,-73.9754742295091,40.7696998327247,5E-PM-1012-02,05E,PM,10122018,2,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,False,False,False,True,True,,False,False,False,False,False,False,True,False,,POINT (-73.9754742295091 40.7696998327247)
266,-73.968107276769,40.7768612676036,15F-AM-1007-09,15F,AM,10072018,9,Adult,Cinnamon,White,Cinnamon+White,,Above Ground,20,,False,False,True,False,True,,False,False,False,False,False,False,False,True,,POINT (-73.968107276769 40.7768612676036)
288,-73.9560679864426,40.7947887062326,37E-PM-1006-06,37E,PM,10062018,6,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,True,True,,False,False,False,False,False,False,True,False,,POINT (-73.9560679864426 40.7947887062326)
296,-73.957342596188,40.7944359654227,37E-PM-1006-09,37E,PM,10062018,9,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,False,moseying,False,False,False,False,True,True,False,False,,POINT (-73.957342596188 40.7944359654227)
301,-73.9762348224648,40.7694522315322,4D-PM-1008-08,04D,PM,10082018,8,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,False,False,True,True,True,climbed fence staring at me - went up tree,False,False,False,False,False,False,False,True,,POINT (-73.97623482246482 40.7694522315322)
303,-73.9750283794865,40.7724101927821,8C-PM-1013-08,08C,PM,10132018,8,,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9750283794865 40.7724101927821)
317,-73.9659034359706,40.7797516688844,19F-AM-1007-02,19F,AM,10072018,2,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,8,,False,False,False,True,False,,False,False,False,False,False,False,True,False,,POINT (-73.9659034359706 40.77975166888441)
318,-73.9684376038582,40.7824275067237,20C-PM-1018-09,20C,PM,10182018,9,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,True,False,False,False,True,,False,False,False,False,False,True,False,False,,POINT (-73.9684376038582 40.7824275067237)
346,-73.9542990150586,40.7940915300678,37G-PM-1007-09,37G,PM,10072018,9,Adult,Cinnamon,White,Cinnamon+White,,,,,False,False,False,False,True,,False,False,False,False,False,False,False,False,,POINT (-73.9542990150586 40.7940915300678)
347,-73.9689657039917,40.7767834276767,15F-AM-1007-04,15F,AM,10072018,4,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,False,False,False,True,True,,False,False,False,False,False,False,False,False,,POINT (-73.9689657039917 40.7767834276767)
356,-73.9635658786416,40.7777291777901,18I-AM-1017-03,18I,AM,10172018,3,Adult,Cinnamon,Black,Cinnamon+Black,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9635658786416 40.77772917779011)
373,-73.9752000129992,40.7732918122239,8C-PM-1013-04,08C,PM,10132018,4,Juvenile,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.9752000129992 40.7732918122239)
374,-73.9698817079185,40.7758322627711,13E-PM-1008-10,13E,PM,10082018,10,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,False,False,False,True,True,,False,False,False,False,True,False,False,True,,POINT (-73.9698817079185 40.7758322627711)
375,-73.9757001944781,40.769499790547,5E-AM-1008-09,05E,AM,10082018,9,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,2,went up tree,True,False,False,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.9757001944781 40.769499790547)
382,-73.968045072743,40.7836626717225,22C-AM-1013-02,22C,AM,10132018,2,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,4,,False,False,True,False,True,,True,False,False,True,False,False,False,True,,POINT (-73.968045072743 40.7836626717225)
390,-73.9802376131034,40.7680707516627,1B-AM-1012-12,01B,AM,10122018,12,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.9802376131034 40.7680707516627)
395,-73.9690416961886,40.7716618670996,10H-AM-1014-05,10H,AM,10142018,5,,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,False,False,,POINT (-73.9690416961886 40.7716618670996)
398,-73.9763433202401,40.7738473490681,9B-PM-1013-10,09B,PM,10132018,10,Juvenile,Cinnamon,Gray,Cinnamon+Gray,"""Brown"" written in as Primary",Above Ground,12,,False,False,False,True,False,,False,False,False,False,False,False,True,False,,POINT (-73.9763433202401 40.7738473490681)
404,-73.9786603147149,40.7671937837017,1D-AM-1006-09,01D,AM,10062018,9,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,True,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.9786603147149 40.7671937837017)
411,-73.9785675798034,40.7672992405289,1C-PM-1013-05,01C,PM,10132018,5,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,False,False,,POINT (-73.9785675798034 40.7672992405289)
422,-73.9756754297747,40.7738518843446,9B-PM-1013-02,09B,PM,10132018,2,Juvenile,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.9756754297747 40.7738518843446)
423,-73.9756557086441,40.773296289824,8B-PM-1012-08,08B,PM,10122018,8,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9756557086441 40.773296289824)
430,-73.9757787135906,40.7737231427345,9B-PM-1013-03,09B,PM,10132018,3,Juvenile,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.9757787135906 40.7737231427345)
452,-73.9752793195744,40.7733960128931,9C-AM-1006-03,09C,AM,10062018,3,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.9752793195744 40.7733960128931)
455,-73.9735750352959,40.7694500333777,6F-PM-1008-06,06F,PM,10082018,6,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",White patches. Almost looks like fox squirrel,,,,False,False,False,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.9735750352959 40.7694500333777)
458,-73.9648195433192,40.7796399955868,19G-PM-1017-03,19G,PM,10172018,3,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,False,False,True,True,False,staring,False,False,False,False,True,False,False,False,,POINT (-73.9648195433192 40.7796399955868)
461,-73.9664450399121,40.7887844904695,27A-AM-1008-02,27A,AM,10082018,2,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,False,True,,POINT (-73.9664450399121 40.7887844904695)
467,-73.9581243021722,40.794431473386,36D-AM-1007-01,36D,AM,10072018,1,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,True,False,True,,False,False,False,False,False,False,False,True,avoiding a dog,POINT (-73.95812430217221 40.794431473386)
474,-73.9701481200298,40.7751110354034,12F-AM-1020-06,12F,AM,10202018,6,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9701481200298 40.7751110354034)
482,-73.9677423154682,40.7728813350245,11I-AM-1012-02,11I,AM,10122018,2,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.9677423154682 40.77288133502451)
487,-73.978426472499,40.771904101844,6A-PM-1012-04,06A,PM,10122018,4,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,True,False,False,False,True,,False,False,False,False,False,False,False,False,,POINT (-73.978426472499 40.771904101844)
490,-73.9776854797916,40.7683102295663,3D-AM-1006-04,03D,AM,10062018,4,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,False,True,runs from (boy on bike),POINT (-73.9776854797916 40.7683102295663)
492,-73.9801007327506,40.7677455633932,1B-PM-1019-06,01B,PM,10192018,6,Juvenile,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,False,False,False,True,False,,False,False,False,False,False,False,True,False,,POINT (-73.9801007327506 40.7677455633932)
503,-73.9649611089685,40.7814371834837,21F-AM-1018-05,21F,AM,10182018,5,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,2,,False,False,True,False,False,,False,False,False,False,True,False,False,True,,POINT (-73.9649611089685 40.7814371834837)
506,-73.9714289592392,40.7750670702093,12E-PM-1018-04,12E,PM,10182018,4,Adult,Cinnamon,,Cinnamon+,,Above Ground,10,,False,False,True,False,False,,False,False,False,False,False,False,False,True,,POINT (-73.9714289592392 40.7750670702093)
511,-73.9768357173861,40.7683813358343,3D-PM-1010-12,03D,PM,10102018,12,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,True,True,False,False,True,,False,True,False,False,False,False,False,False,,POINT (-73.9768357173861 40.7683813358343)
522,-73.952526164386,40.7963759240504,40G-AM-1007-02,40G,AM,10072018,2,Juvenile,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,18,,True,False,True,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.952526164386 40.7963759240504)
531,-73.9650499507011,40.7908191782173,30A-AM-1010-01,30A,AM,10102018,1,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,10,,True,False,True,False,False,,False,False,False,False,True,False,False,True,,POINT (-73.9650499507011 40.7908191782173)
542,-73.9756810453606,40.7756257458036,11A-PM-1013-01,11A,PM,10132018,1,Adult,Cinnamon,Gray,Cinnamon+Gray,"Off-white, decorator's white?",Ground Plane,FALSE,,False,False,False,True,False,eating (osage orange),False,False,False,False,False,False,True,False,,POINT (-73.9756810453606 40.7756257458036)
549,-73.9625416200877,40.7811302397912,21H-AM-1017-02,21H,AM,10172018,2,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,1,,False,False,True,False,False,,False,False,False,False,False,False,False,True,,POINT (-73.9625416200877 40.78113023979121)
554,-73.9792153893146,40.7688272492961,3B-AM-1010-01,03B,AM,10102018,1,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9792153893146 40.7688272492961)
585,-73.9646597452128,40.7827698220703,22F-AM-1007-07,22F,AM,10072018,7,Juvenile,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,3,,False,False,True,False,False,,False,False,False,False,True,False,False,False,alert & aware,POINT (-73.9646597452128 40.7827698220703)
587,-73.9785133301426,40.7718260288338,6A-PM-1012-05,06A,PM,10122018,5,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,False,False,,POINT (-73.9785133301426 40.7718260288338)
597,-73.9808202088503,40.7682921842325,1A-PM-1014-02,01A,PM,10142018,2,Adult,Cinnamon,White,Cinnamon+White,,Above Ground,6,,False,True,False,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9808202088503 40.7682921842325)
601,-73.9540908513075,40.794201225045,37G-PM-1007-04,37G,PM,10072018,4,,Cinnamon,Gray,Cinnamon+Gray,gray tail,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,False,False,,POINT (-73.9540908513075 40.794201225045)
618,-73.9655905300923,40.7752614638023,14I-PM-1018-06,14I,PM,10182018,6,Adult,Cinnamon,Black,Cinnamon+Black,,Above Ground,2,,True,False,True,False,False,,False,False,False,False,True,False,True,False,,POINT (-73.9655905300923 40.7752614638023)
623,-73.9764235373322,40.770606513989,5C-PM-1010-11,05C,PM,10102018,11,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,True,False,True,,False,False,False,False,False,False,False,False,,POINT (-73.97642353733221 40.770606513989)
634,-73.9757536187319,40.7755119810678,11A-PM-1013-03,11A,PM,10132018,3,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,True,True,,False,False,False,False,False,False,True,False,,POINT (-73.9757536187319 40.7755119810678)
638,-73.9785536529136,40.7716184505002,6A-PM-1012-07,06A,PM,10122018,7,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,elevated ground,False,True,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9785536529136 40.771618450500206)
649,-73.9801661903932,40.7697950141751,3A-PM-1017-03,03A,PM,10172018,3,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,True,False,False,,POINT (-73.9801661903932 40.7697950141751)
658,-73.9638298997554,40.7825966332367,22F-AM-1007-03,22F,AM,10072018,3,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",large white highlight,Ground Plane,FALSE,,False,False,False,True,False,,False,False,False,False,False,False,True,False,,POINT (-73.9638298997554 40.7825966332367)
665,-73.9624538733037,40.7883829851518,28D-AM-1012-04,28D,AM,10122018,4,Adult,Cinnamon,White,Cinnamon+White,,Above Ground,10,,False,False,True,False,False,,False,False,False,False,False,False,False,True,,POINT (-73.9624538733037 40.7883829851518)
675,-73.9799155966086,40.7698034314993,3A-PM-1017-08,03A,PM,10172018,8,Adult,Cinnamon,Black,Cinnamon+Black,,Ground Plane,FALSE,,False,False,False,True,True,,False,False,False,False,False,True,False,False,,POINT (-73.9799155966086 40.7698034314993)
682,-73.9691057326088,40.7765973509721,14F-PM-1012-07,14F,PM,10122018,7,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,True,True,False,True,True,,False,False,False,False,False,False,True,False,,POINT (-73.9691057326088 40.7765973509721)
683,-73.9658181813014,40.7798160637561,19F-AM-1007-01,19F,AM,10072018,1,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,bit scared,POINT (-73.9658181813014 40.7798160637561)
693,-73.9685080639873,40.7745309794155,13G-PM-1008-03,13G,PM,10082018,3,Juvenile,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,20,maple tree,False,False,True,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.9685080639873 40.77453097941551)
697,-73.9504693544225,40.797225436004,42H-AM-1019-01,42H,AM,10192018,1,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,False,False,False,True,True,,False,False,False,False,False,False,False,False,,POINT (-73.9504693544225 40.797225436004)
713,-73.9772026572674,40.7691598773017,4D-PM-1008-14,04D,PM,10082018,14,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9772026572674 40.7691598773017)
721,-73.9654397484763,40.7798863522904,19F-PM-1017-03,19F,PM,10172018,3,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,True,True,,False,False,False,False,False,True,False,False,,POINT (-73.9654397484763 40.7798863522904)
743,-73.9671640520938,40.7772236833816,16G-AM-1010-02,16G,AM,10102018,2,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9671640520938 40.7772236833816)
746,-73.9756603846107,40.7672531319384,3F-PM-1013-03,03F,PM,10132018,3,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.9756603846107 40.7672531319384)
778,-73.9675472064204,40.7835947167436,22C-PM-1006-06,22C,PM,10062018,6,Juvenile,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,10,on tree,False,False,False,True,False,,False,False,False,False,False,False,False,False,,POINT (-73.9675472064204 40.7835947167436)
787,-73.9687476703117,40.7742856696093,12G-AM-1012-01,12G,AM,10122018,1,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,2,,False,False,True,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.9687476703117 40.7742856696093)
788,-73.9675023138703,40.7872554700995,25A-PM-1007-01,25A,PM,10072018,1,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,40,tree,False,False,True,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9675023138703 40.7872554700995)
798,-73.9529413156461,40.7920963446605,36I-PM-1007-06,36I,PM,10072018,6,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,False,False,False,True,False,,False,False,False,False,False,False,True,False,,POINT (-73.9529413156461 40.7920963446605)
799,-73.9682144039334,40.7773070675393,15F-AM-1007-08,15F,AM,10072018,8,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9682144039334 40.7773070675393)
804,-73.9706851546184,40.7780777016038,15D-PM-1017-04,15D,PM,10172018,4,Adult,Cinnamon,,Cinnamon+,,Above Ground,2,on fence,True,False,False,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.9706851546184 40.7780777016038)
812,-73.9758959798289,40.7694125671679,4D-PM-1008-01,04D,PM,10082018,1,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,False,False,False,True,False,,False,False,False,False,False,False,False,True,,POINT (-73.9758959798289 40.7694125671679)
843,-73.9642379942652,40.7774792520738,17I-PM-1017-01,17I,PM,10172018,1,Juvenile,Cinnamon,White,Cinnamon+White,,Above Ground,15,,False,False,True,False,False,,False,False,False,False,False,False,False,False,"was in a tree,so i couldn't really tell",POINT (-73.9642379942652 40.7774792520738)
