,X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
2487,-73.9726920847792,40.7794117463889,16A-PM-1019-02,16A,PM,10192018,2,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,True,False,False,True,scared by dog,POINT (-73.9726920847792 40.7794117463889)
2491,-73.9801619956135,40.7678576697542,1B-AM-1012-09,01B,AM,10122018,9,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9801619956135 40.7678576697542)
2492,-73.954767265558,40.7973243644491,40E-PM-1017-03,40E,PM,10172018,3,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.954767265558 40.7973243644491)
2502,-73.974382557804,40.7674812627373,3F-AM-1006-10,03F,AM,10062018,10,Adult,Cinnamon,White,Cinnamon+White,,Above Ground,6,on fence,False,False,True,False,False,,False,False,False,False,False,False,False,False,clueless,POINT (-73.974382557804 40.7674812627373)
2503,-73.9550131837533,40.7958617258176,39E-PM-1013-02,39E,PM,10132018,2,Adult,Cinnamon,Gray,Cinnamon+Gray,Gray tail & butt,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,True,True,False,,POINT (-73.9550131837533 40.7958617258176)
2504,-73.9762974698771,40.7740076116964,9B-PM-1013-06,09B,PM,10132018,6,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,True,False,False,True,False,,POINT (-73.9762974698771 40.7740076116964)
2513,-73.95744422055,40.7961046528557,38D-AM-1017-04,38D,AM,10172018,4,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.95744422055 40.7961046528557)
2515,-73.9649823687651,40.7763395359636,16I-AM-1008-02,16I,AM,10082018,2,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Above Ground,1,,False,False,True,False,False,,False,False,False,False,False,False,True,False,,POINT (-73.9649823687651 40.7763395359636)
2520,-73.976869549792,40.7706982454723,5C-AM-1006-04,05C,AM,10062018,4,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,12,thin branch of tree,False,False,False,False,False,relaxing,False,False,False,True,False,False,True,False,,POINT (-73.976869549792 40.7706982454723)
2522,-73.9619016393127,40.7925160126921,33B-PM-1010-06,33B,PM,10102018,6,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,True,False,False,,POINT (-73.9619016393127 40.7925160126921)
2538,-73.9781033448468,40.7666724066213,1D-AM-1006-03,01D,AM,10062018,3,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.9781033448468 40.7666724066213)
2546,-73.9743393747021,40.7676346798325,3F-AM-1006-12,03F,AM,10062018,12,Juvenile,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,True,False,False,True,False,,POINT (-73.9743393747021 40.7676346798325)
